"Rango de Ejec del Contrato";"fechadif";"n"
"1";"D";0;23405
"2";"D";1;576
"3";"D";2;185
"4";"D";3;161
"5";"D";4;66
"6";"D";5;202
"7";"D";6;64
"8";"D";7;72
"9";"D";8;189
"10";"D";9;36
"11";"D";10;206
"12";"D";11;24
"13";"D";12;48
"14";"D";13;37
"15";"D";14;54
"16";"D";15;393
"17";"D";16;42
"18";"D";17;39
"19";"D";18;40
"20";"D";19;30
"21";"D";20;1233
"22";"D";21;66
"23";"D";22;24
"24";"D";23;29
"25";"D";24;48
"26";"D";25;76
"27";"D";26;29
"28";"D";27;29
"29";"D";28;56
"30";"D";29;74
"31";"D";30;2304
"32";"D";31;133
"33";"D";32;49
"34";"D";33;39
"35";"D";34;35
"36";"D";35;142
"37";"D";36;34
"38";"D";37;28
"39";"D";38;25
"40";"D";39;43
"41";"D";40;170
"42";"D";41;48
"43";"D";42;96
"44";"D";43;32
"45";"D";44;54
"46";"D";45;697
"47";"D";46;63
"48";"D";47;42
"49";"D";48;41
"50";"D";49;59
"51";"D";50;104
"52";"D";51;1
"53";"D";52;1
"54";"D";53;1
"55";"D";55;4
"56";"D";56;1
"57";"D";57;3
"58";"D";58;5
"59";"D";59;157
"60";"D";60;54
"61";"D";61;18
"62";"D";62;17
"63";"D";63;3
"64";"D";64;5
"65";"D";66;2
"66";"D";67;1
"67";"D";68;2
"68";"D";69;4
"69";"D";70;3
"70";"D";71;10
"71";"D";72;1
"72";"D";73;2
"73";"D";74;6
"74";"D";75;8
"75";"D";76;1
"76";"D";77;3
"77";"D";78;2
"78";"D";79;1
"79";"D";80;1
"80";"D";81;2
"81";"D";82;9
"82";"D";83;1
"83";"D";84;2
"84";"D";85;1
"85";"D";86;1
"86";"D";87;5
"87";"D";88;3
"88";"D";89;9
"89";"D";90;652
"90";"D";91;67
"91";"D";92;136
"92";"D";93;2
"93";"D";95;4
"94";"D";96;3
"95";"D";98;7
"96";"D";99;4
"97";"D";100;2
"98";"D";102;3
"99";"D";103;2
"100";"D";104;3
"101";"D";105;7
"102";"D";106;2
"103";"D";107;2
"104";"D";109;1
"105";"D";110;3
"106";"D";111;4
"107";"D";117;3
"108";"D";118;2
"109";"D";119;2
"110";"D";120;38
"111";"D";121;12
